carat,cut,color,clarity,depth,table,price,x,y,z,price_log,carat_log,volume,price_per_carat,dimension_ratio,carat_category,cut_enc,color_enc,clarity_enc,carat_category_enc,cluster,pca1,pca2,cluster_name
0.23,Very Good,E,VS2,63.8,55.0,29216.0,3.85,3.92,2.48,10.282506010629309,0.20701416938432615,37.42816,127026.08695652173,1.566532258064516,Light,2,5,3,1,2,-3.027028793453962,0.17982011341625762,Affordable Small Diamonds
0.23,Very Good,H,VS1,61.0,57.0,29299.0,3.94,3.96,2.41,10.285342795005159,0.20701416938432615,37.601784,127386.95652173912,1.6390041493775933,Light,2,2,4,1,2,-2.7814819455156985,0.696002151831489,Affordable Small Diamonds
0.31,Very Good,J,SI1,59.4,62.0,29299.0,4.39,4.43,2.62,10.285342795005159,0.27002713721306015,50.952974,94512.90322580645,1.683206106870229,Light,2,0,2,1,2,-1.4359801606507006,2.3728130725528156,Affordable Small Diamonds
0.31,Very Good,J,SI1,58.1,62.0,29299.0,4.44,4.47,2.59,10.285342795005159,0.27002713721306015,51.403212,94512.90322580645,1.7200772200772203,Light,2,0,2,1,2,-1.4292664731137652,2.5450793951179613,Affordable Small Diamonds
0.23,Very Good,G,VVS2,60.4,58.0,29382.0,3.97,4.01,2.41,10.28817155479407,0.20701416938432615,38.366477,127747.82608695651,1.6556016597510372,Light,2,3,5,1,2,-2.924160811062011,1.0699486416237325,Affordable Small Diamonds
0.24,Premium,I,VS1,62.5,57.0,29465.0,3.97,3.94,2.47,10.2909923352673,0.2151113796169455,38.635246,122770.83333333334,1.6012145748987854,Light,3,1,4,1,2,-2.717844958661604,-0.17514085060606233,Affordable Small Diamonds
0.3,Very Good,J,VS2,62.2,57.0,29631.0,4.28,4.3,2.67,10.296610137445906,0.262364264467491,49.13868,98770.0,1.606741573033708,Light,2,0,3,1,2,-1.9159093802947627,0.32744976375117946,Affordable Small Diamonds
0.23,Very Good,D,VS2,60.5,61.0,29631.0,3.96,3.97,2.4,10.296610137445906,0.20701416938432615,37.73088,128830.43478260869,1.6520833333333333,Light,2,6,3,1,2,-2.785946281726438,2.6038343825300316,Affordable Small Diamonds
0.23,Very Good,F,VS1,60.9,57.0,29631.0,3.96,3.99,2.42,10.296610137445906,0.20701416938432615,38.236968000000005,128830.43478260869,1.6425619834710745,Light,2,4,4,1,2,-2.9418136654747506,0.9394068591381023,Affordable Small Diamonds
0.23,Very Good,F,VS1,60.0,57.0,33366.0,4.0,4.03,2.41,10.415322666595292,0.20701416938432615,38.8492,145069.5652173913,1.66597510373444,Light,2,4,4,1,2,-2.9225455600117836,1.0557835489320677,Affordable Small Diamonds
0.23,Very Good,F,VS1,59.8,57.0,33366.0,4.04,4.06,2.42,10.415322666595292,0.20701416938432615,39.693808,145069.5652173913,1.6735537190082643,Light,2,4,4,1,2,-2.888069168337739,1.0760934037043355,Affordable Small Diamonds
0.23,Very Good,E,VS1,60.7,59.0,33366.0,3.97,4.01,2.42,10.415322666595292,0.20701416938432615,38.525674,145069.5652173913,1.6487603305785126,Light,2,5,4,1,2,-2.908312412918811,1.7028021155270348,Affordable Small Diamonds
0.23,Very Good,E,VS1,59.5,58.0,33366.0,4.01,4.06,2.4,10.415322666595292,0.20701416938432615,39.07343999999999,145069.5652173913,1.6812500000000001,Light,2,5,4,1,2,-2.952277245390469,1.5495381791003302,Affordable Small Diamonds
0.23,Very Good,D,VS1,61.9,58.0,33366.0,3.92,3.96,2.44,10.415322666595292,0.20701416938432615,37.876608,145069.5652173913,1.6147540983606556,Light,2,6,4,1,2,-3.078398757288966,1.3531045743877883,Affordable Small Diamonds
0.23,Good,F,VS1,58.2,59.0,33366.0,4.06,4.08,2.37,10.415322666595292,0.20701416938432615,39.258576,145069.5652173913,1.7172995780590719,Light,1,4,4,1,2,-2.704353437995099,2.4573139974967293,Affordable Small Diamonds
0.23,Good,E,VS1,64.1,59.0,33366.0,3.83,3.85,2.46,10.415322666595292,0.20701416938432615,36.27393,145069.5652173913,1.5609756097560976,Light,1,5,4,1,2,-2.8807526629148694,1.803682883268572,Affordable Small Diamonds
0.31,Good,H,SI1,64.0,54.0,33366.0,4.29,4.31,2.75,10.415322666595292,0.27002713721306015,50.847224999999995,107632.25806451614,1.5636363636363635,Light,1,2,2,1,2,-1.9562681072822472,0.04396536404624715,Affordable Small Diamonds
0.26,Very Good,D,VS2,60.8,59.0,33449.0,4.13,4.16,2.52,10.417807065556374,0.23111172096338664,43.295616,128650.0,1.6448412698412698,Light,2,6,3,1,2,-2.636932847063035,1.892696511383917,Affordable Small Diamonds
0.33,Ideal,I,SI2,61.8,55.0,33449.0,4.49,4.51,2.78,10.417807065556374,0.2851789422336624,56.294722,101360.60606060605,1.6187050359712232,Light,4,1,1,1,2,-1.7721233101833647,-0.9993660439200847,Affordable Small Diamonds
0.33,Ideal,I,SI2,61.2,56.0,33449.0,4.49,4.5,2.75,10.417807065556374,0.2851789422336624,55.563750000000006,101360.60606060605,1.6345454545454545,Light,4,1,1,1,2,-1.7433619142364212,-0.6031400818944976,Affordable Small Diamonds
0.33,Ideal,J,SI1,61.1,56.0,33449.0,4.49,4.55,2.76,10.417807065556374,0.2851789422336624,56.385419999999996,101360.60606060605,1.6376811594202898,Light,4,0,2,1,2,-1.758881782804853,-0.841295749815377,Affordable Small Diamonds
0.26,Good,D,VS2,65.2,56.0,33449.0,3.99,4.02,2.61,10.417807065556374,0.23111172096338664,41.863878,128650.0,1.5344827586206897,Light,1,6,3,1,2,-2.7334170791394903,0.9188155682652999,Affordable Small Diamonds
0.26,Good,D,VS1,58.4,63.0,33449.0,4.19,4.24,2.46,10.417807065556374,0.23111172096338664,43.703376000000006,128650.0,1.7134146341463414,Light,1,6,4,1,2,-2.4442372317134367,3.8677811086265486,Affordable Small Diamonds
0.32,Good,H,SI2,63.1,56.0,33449.0,4.34,4.37,2.75,10.417807065556374,0.2776317365982795,52.155950000000004,104528.125,1.5836363636363637,Light,1,2,1,1,2,-1.6555437234541635,0.9047527144187699,Affordable Small Diamonds
0.29,Premium,F,SI1,62.4,58.0,33449.0,4.24,4.26,2.65,10.417807065556374,0.2546422183735807,47.865359999999995,115341.37931034484,1.6037735849056605,Light,3,4,2,1,2,-2.249929499425081,0.6800200294740325,Affordable Small Diamonds
0.32,Very Good,H,SI2,61.8,55.0,33449.0,4.35,4.42,2.71,10.417807065556374,0.2776317365982795,52.105169999999994,104528.125,1.618081180811808,Light,2,2,1,1,2,-1.8243768285511126,0.2289902787338265,Affordable Small Diamonds
0.32,Good,H,SI2,63.8,56.0,33449.0,4.36,4.38,2.79,10.417807065556374,0.2776317365982795,53.280072000000004,104528.125,1.5663082437275986,Light,1,2,1,1,2,-1.6101022463711445,0.8028371443141812,Affordable Small Diamonds
0.25,Very Good,E,VS2,63.3,60.0,33532.0,4.0,4.03,2.54,10.420285307572408,0.22314355131420976,40.9448,134128.0,1.5807086614173231,Light,2,5,3,1,2,-2.570229063912841,1.7683479770262753,Affordable Small Diamonds
0.29,Very Good,H,SI2,60.7,60.0,33532.0,4.33,4.37,2.64,10.420285307572408,0.2546422183735807,49.954344000000006,115627.58620689657,1.6477272727272725,Light,2,2,1,1,2,-1.6504212338705964,1.9509276159190039,Affordable Small Diamonds
0.24,Very Good,F,SI1,60.9,61.0,33532.0,4.02,4.03,2.45,10.420285307572408,0.2151113796169455,39.691469999999995,139716.6666666667,1.6428571428571428,Light,2,4,2,1,2,-2.3655009142009176,2.4259268255828834,Affordable Small Diamonds
0.23,Ideal,G,VS1,61.9,54.0,33532.0,3.93,3.95,2.44,10.420285307572408,0.20701416938432615,37.877340000000004,145791.30434782608,1.6147540983606559,Light,4,3,4,1,2,-3.2256125124790236,-1.323894114860131,Affordable Small Diamonds
0.32,Ideal,I,SI1,60.9,55.0,33532.0,4.45,4.48,2.72,10.420285307572408,0.2776317365982795,54.225920000000016,104787.5,1.6415441176470587,Light,4,1,2,1,2,-1.9954630552594448,-0.9916536959002427,Affordable Small Diamonds
0.22,Premium,E,VS2,61.6,58.0,33532.0,3.93,3.89,2.41,10.420285307572408,0.1988508587451652,36.843357000000005,152418.18181818182,1.6224066390041494,Light,3,5,3,1,2,-3.004726335040002,0.874532122106387,Affordable Small Diamonds
0.22,Premium,D,VS2,59.3,62.0,33532.0,3.91,3.88,2.31,10.420285307572408,0.1988508587451652,35.044548,152418.18181818182,1.6861471861471862,Light,3,6,3,1,2,-2.965085888210129,2.559802914313296,Affordable Small Diamonds
0.3,Ideal,I,SI2,61.0,59.0,33615.0,4.3,4.33,2.63,10.422757423084782,0.262364264467491,48.967969999999994,112050.0,1.6406844106463878,Light,4,1,1,1,2,-1.833686071346226,0.4051341162800184,Affordable Small Diamonds
0.3,Premium,J,SI2,59.3,61.0,33615.0,4.43,4.38,2.61,10.422757423084782,0.262364264467491,50.64287399999999,112050.0,1.6877394636015324,Light,3,0,1,1,2,-1.477809073988797,1.6678262860111124,Affordable Small Diamonds
0.3,Very Good,I,SI1,62.6,57.0,33615.0,4.25,4.28,2.67,10.422757423084782,0.262364264467491,48.5673,112050.0,1.5973782771535583,Light,2,1,2,1,2,-1.8915382425352418,0.5238081620213202,Affordable Small Diamonds
0.3,Very Good,I,SI1,63.0,57.0,33615.0,4.28,4.32,2.71,10.422757423084782,0.262364264467491,50.10681600000001,112050.0,1.5867158671586719,Light,2,1,2,1,2,-1.8319709114517961,0.45919870739401825,Affordable Small Diamonds
0.3,Good,I,SI1,63.2,55.0,33615.0,4.25,4.29,2.7,10.422757423084782,0.262364264467491,49.22775000000001,112050.0,1.5814814814814813,Light,1,1,2,1,2,-1.880622070424856,0.3579604977754367,Affordable Small Diamonds
0.35,Ideal,I,VS1,60.9,57.0,45816.0,4.54,4.59,2.78,10.73241048027168,0.3001045924503381,57.931307999999994,130902.85714285714,1.6420863309352518,Light,4,1,4,1,2,-1.995222970231647,-0.6574462508795438,Affordable Small Diamonds
0.3,Premium,D,SI1,62.6,59.0,45816.0,4.23,4.27,2.66,10.73241048027168,0.262364264467491,48.04518600000001,152720.0,1.5977443609022555,Light,3,6,2,1,2,-2.3602961426463107,1.1953995285249972,Affordable Small Diamonds
0.3,Ideal,D,SI1,62.5,57.0,45816.0,4.29,4.32,2.69,10.73241048027168,0.262364264467491,49.853232000000006,152720.0,1.600371747211896,Light,4,6,2,1,2,-2.5087639143149034,0.03426315373222678,Affordable Small Diamonds
0.3,Ideal,D,SI1,62.1,56.0,45816.0,4.3,4.33,2.68,10.73241048027168,0.262364264467491,49.898920000000004,152720.0,1.6100746268656714,Light,4,6,2,1,2,-2.5685762666508434,-0.22267550108878914,Affordable Small Diamonds
0.42,Premium,I,SI2,61.5,59.0,45816.0,4.78,4.84,2.96,10.73241048027168,0.3506568716131694,68.480192,109085.71428571429,1.6250000000000002,Light,3,1,1,1,2,-0.9701595094909536,0.7349459858814098,Affordable Small Diamonds
0.28,Ideal,G,VVS2,61.4,56.0,45899.0,4.19,4.22,2.58,10.734220396048636,0.2468600779315258,45.619044,163924.99999999997,1.62984496124031,Light,4,3,5,1,2,-2.880907253249558,-0.8333849371659264,Affordable Small Diamonds
0.32,Ideal,I,VVS1,62.0,55.3,45899.0,4.39,4.42,2.73,10.734220396048636,0.2776317365982795,52.97237399999999,143434.375,1.6135531135531134,Light,4,1,6,1,2,-2.5548483303363945,-1.554190656935027,Affordable Small Diamonds
0.31,Very Good,G,SI1,63.3,57.0,45899.0,4.33,4.3,2.73,10.734220396048636,0.27002713721306015,50.82987,148061.29032258064,1.5805860805860805,Light,2,3,2,1,2,-1.979703449560125,0.6470750918356225,Affordable Small Diamonds
0.31,Premium,G,SI1,61.8,58.0,45899.0,4.35,4.32,2.68,10.734220396048636,0.27002713721306015,50.362559999999995,148061.29032258064,1.6175373134328357,Light,3,3,2,1,2,-2.0488426414893923,0.6223198933661659,Affordable Small Diamonds
0.24,Premium,E,VVS1,60.7,58.0,45899.0,4.01,4.03,2.44,10.734220396048636,0.2151113796169455,39.431132,191245.83333333334,1.6475409836065573,Light,3,5,6,1,2,-3.286316782288688,0.5842657085488775,Affordable Small Diamonds
0.24,Very Good,D,VVS1,61.5,60.0,45899.0,3.97,4.0,2.45,10.734220396048636,0.2151113796169455,38.906000000000006,191245.83333333334,1.626530612244898,Light,2,6,6,1,2,-3.1818419840339285,1.760300064961261,Affordable Small Diamonds
0.3,Very Good,H,SI1,63.1,56.0,45982.0,4.29,4.27,2.7,10.736027041947786,0.262364264467491,49.45941,153273.33333333334,1.5851851851851848,Light,2,2,2,1,2,-2.0059165033399604,0.2571961555536326,Affordable Small Diamonds
0.3,Premium,H,SI1,62.9,59.0,45982.0,4.28,4.24,2.68,10.736027041947786,0.262364264467491,48.634496000000006,153273.33333333334,1.58955223880597,Light,3,2,2,1,2,-1.9611490870123758,0.6807166517195135,Affordable Small Diamonds
0.3,Premium,H,SI1,62.5,57.0,45982.0,4.29,4.25,2.67,10.736027041947786,0.262364264467491,48.680775000000004,153273.33333333334,1.599250936329588,Light,3,2,2,1,2,-2.0790748719494268,0.11317271056011302,Affordable Small Diamonds
0.3,Good,H,SI1,63.7,57.0,45982.0,4.28,4.26,2.72,10.736027041947786,0.262364264467491,49.593216000000005,153273.33333333334,1.5698529411764703,Light,1,2,2,1,2,-1.8399053927601812,1.02682289496333,Affordable Small Diamonds
0.26,Very Good,F,VVS2,59.2,60.0,45982.0,4.19,4.22,2.49,10.736027041947786,0.23111172096338664,44.027682,176853.84615384616,1.6887550200803212,Light,2,4,5,1,2,-2.6462084582333905,1.9208098209468554,Affordable Small Diamonds
0.26,Very Good,E,VVS2,59.9,58.0,45982.0,4.15,4.23,2.51,10.736027041947786,0.23111172096338664,44.06179500000001,176853.84615384616,1.669322709163347,Light,2,5,5,1,2,-2.8495771128024874,1.3224172530241438,Affordable Small Diamonds
0.26,Very Good,D,VVS2,62.4,54.0,45982.0,4.08,4.13,2.56,10.736027041947786,0.23111172096338664,43.137024000000004,176853.84615384616,1.6035156250000002,Light,2,6,5,1,2,-3.1920629146765767,-0.13273239145932317,Affordable Small Diamonds
0.26,Very Good,D,VVS2,62.8,60.0,45982.0,4.01,4.05,2.53,10.736027041947786,0.23111172096338664,41.08846499999999,176853.84615384616,1.592885375494071,Light,2,6,5,1,2,-2.9230582672624075,1.6925354290916097,Affordable Small Diamonds
0.26,Very Good,E,VVS1,62.6,59.0,45982.0,4.06,4.09,2.55,10.736027041947786,0.23111172096338664,42.34377,176853.84615384616,1.5980392156862744,Light,2,5,6,1,2,-2.973628623458932,1.1529163340256163,Affordable Small Diamonds
0.26,Very Good,E,VVS1,63.4,59.0,45982.0,4.0,4.04,2.55,10.736027041947786,0.23111172096338664,41.208,176853.84615384616,1.576470588235294,Light,2,5,6,1,2,-3.0131149332487195,1.0535687157480187,Affordable Small Diamonds
0.26,Very Good,D,VVS1,62.1,60.0,45982.0,4.03,4.12,2.53,10.736027041947786,0.23111172096338664,42.007107999999995,176853.84615384616,1.6106719367588935,Light,2,6,6,1,2,-3.027131432109919,1.6509652534992438,Affordable Small Diamonds
0.26,Ideal,E,VVS2,62.9,58.0,45982.0,4.02,4.06,2.54,10.736027041947786,0.23111172096338664,41.455847999999996,176853.84615384616,1.5905511811023618,Light,4,5,5,1,2,-3.125346812304633,-0.1445177458732553,Affordable Small Diamonds
0.38,Ideal,I,SI2,61.6,56.0,45982.0,4.65,4.67,2.87,10.736027041947786,0.3220834991691133,62.32348500000001,121005.26315789473,1.6236933797909407,Light,4,1,1,1,2,-1.469057870308013,-0.7082868667515986,Affordable Small Diamonds
0.26,Good,E,VVS1,57.9,60.0,45982.0,4.22,4.25,2.45,10.736027041947786,0.23111172096338664,43.94075,176853.84615384616,1.7285714285714282,Light,1,5,6,1,2,-2.790257802213828,2.6263816231471075,Affordable Small Diamonds
0.24,Premium,G,VVS1,62.3,59.0,45982.0,3.95,3.92,2.45,10.736027041947786,0.2151113796169455,37.9358,191591.6666666667,1.6061224489795918,Light,3,3,6,1,2,-3.0918849866136378,0.4561174559040488,Affordable Small Diamonds
0.24,Premium,H,VVS1,61.2,58.0,45982.0,4.01,3.96,2.44,10.736027041947786,0.2151113796169455,38.746224,191591.6666666667,1.6331967213114753,Light,3,2,6,1,2,-3.030325928159592,0.16974507333575523,Affordable Small Diamonds
0.24,Premium,H,VVS1,60.8,59.0,45982.0,4.02,4.0,2.44,10.736027041947786,0.2151113796169455,39.23519999999999,191591.6666666667,1.6434426229508197,Light,3,2,6,1,2,-2.9547983893061676,0.5303256357397348,Affordable Small Diamonds
0.24,Premium,H,VVS2,60.7,58.0,45982.0,4.07,4.04,2.46,10.736027041947786,0.2151113796169455,40.449288,191591.6666666667,1.6483739837398372,Light,3,2,5,1,2,-2.8268651980509274,0.3525540660801292,Affordable Small Diamonds
0.32,Premium,I,SI1,62.9,58.0,45982.0,4.35,4.33,2.73,10.736027041947786,0.2776317365982795,51.420915,143693.75,1.5897435897435896,Light,3,1,2,1,2,-1.8043372204999946,0.22961648869346085,Affordable Small Diamonds
0.7,Ideal,E,SI1,62.5,57.0,228831.0,5.7,5.72,3.57,12.340743388848123,0.5306282510621704,116.39627999999999,326901.4285714286,1.5994397759103642,Medium,4,5,2,2,1,-0.22956927573948963,-0.49569592485105607,Premium Heavy Diamonds
0.86,Fair,E,SI2,55.1,69.0,228831.0,6.45,6.33,3.52,12.340743388848123,0.6205764877251099,143.71632,266082.5581395349,1.8153409090909092,Medium,0,5,1,2,1,1.6361092607244865,6.394370296351748,Premium Heavy Diamonds
0.7,Ideal,G,VS2,61.6,56.0,228831.0,5.7,5.67,3.5,12.340743388848123,0.5306282510621704,113.1165,326901.4285714286,1.6242857142857143,Medium,4,3,3,2,2,-0.31146496900843523,-1.0355255422067395,Affordable Small Diamonds
0.71,Very Good,E,VS2,62.4,57.0,228997.0,5.68,5.73,3.56,12.341468548873785,0.5364933705145685,115.865184,322530.985915493,1.6025280898876404,Medium,2,5,3,2,1,-0.17119014732504,0.47098745897524846,Premium Heavy Diamonds
0.78,Very Good,G,SI2,63.8,56.0,228997.0,5.81,5.85,3.72,12.341468548873785,0.5766133643039938,126.43721999999998,293585.89743589744,1.5672043010752688,Medium,2,3,1,2,1,0.5259799428594264,-0.06035649391657041,Premium Heavy Diamonds
0.7,Good,E,VS2,57.5,58.0,228997.0,5.85,5.9,3.38,12.341468548873785,0.5306282510621704,116.66069999999999,327138.5714285714,1.738165680473373,Medium,1,5,3,2,1,-0.04529529130393451,1.9837274079163723,Premium Heavy Diamonds
0.7,Good,F,VS1,59.4,62.0,228997.0,5.71,5.76,3.4,12.341468548873785,0.5306282510621704,111.82464,327138.5714285714,1.6867647058823527,Medium,1,4,4,2,1,0.057073662258807736,2.742205800355953,Premium Heavy Diamonds
0.96,Fair,F,SI2,66.3,62.0,228997.0,6.27,5.95,4.07,12.341468548873785,0.6729444732424258,151.837455,238538.5416666667,1.501228501228501,Medium,0,4,1,2,1,1.657102646159044,2.540120390676293,Premium Heavy Diamonds
0.73,Very Good,E,SI1,61.6,59.0,229080.0,5.77,5.78,3.56,12.341830931785502,0.5481214085096876,118.728136,313808.2191780822,1.6221910112359552,Medium,2,5,2,2,1,0.1536613019589298,1.314307249015897,Premium Heavy Diamonds
0.8,Premium,H,SI1,61.5,58.0,229080.0,5.97,5.93,3.66,12.341830931785502,0.5877866649021191,129.571686,286350.0,1.6256830601092893,Medium,3,2,2,2,1,0.5646232476359097,0.06959976384023937,Premium Heavy Diamonds
0.75,Very Good,D,SI1,63.2,56.0,229080.0,5.8,5.75,3.65,12.341830931785502,0.5596157879354227,121.7275,305440.0,1.582191780821918,Medium,2,6,2,2,1,-0.019114557764996903,0.2682988616818193,Premium Heavy Diamonds
0.75,Premium,E,SI1,59.9,54.0,229080.0,6.0,5.96,3.58,12.341830931785502,0.5596157879354227,128.0208,305440.0,1.6703910614525141,Medium,3,5,2,2,1,-0.04246724685150245,-0.5881561560031786,Premium Heavy Diamonds
0.74,Ideal,G,SI1,61.6,55.0,229080.0,5.8,5.85,3.59,12.341830931785502,0.5538851132264376,121.80869999999999,309567.5675675676,1.6225626740947074,Medium,4,3,2,2,1,-0.015012230344256909,-1.258879267833481,Premium Heavy Diamonds
0.75,Premium,G,VS2,61.7,58.0,229080.0,5.85,5.79,3.59,12.341830931785502,0.5596157879354227,121.59868499999999,305440.0,1.6211699164345406,Medium,3,3,3,2,1,0.12925028622807003,0.0705705670399154,Premium Heavy Diamonds
0.8,Ideal,I,VS1,62.9,56.0,229080.0,5.94,5.87,3.72,12.341830931785502,0.5877866649021191,129.70821600000002,286350.0,1.5873655913978495,Medium,4,1,4,2,2,0.18751403965201022,-1.657915767142525,Affordable Small Diamonds
0.75,Ideal,G,SI1,62.2,55.0,229080.0,5.87,5.8,3.63,12.341830931785502,0.5596157879354227,123.58698,305440.0,1.6074380165289257,Medium,4,3,2,2,1,0.03649256665740228,-1.3484862036880931,Premium Heavy Diamonds
0.8,Premium,G,SI1,63.0,59.0,229080.0,5.9,5.81,3.69,12.341830931785502,0.5877866649021191,126.48950999999998,286350.0,1.5867208672086721,Medium,3,3,2,2,1,0.482588495924138,0.30595593042920466,Premium Heavy Diamonds
0.74,Ideal,I,VVS2,62.3,55.0,229163.0,5.77,5.81,3.61,12.342193183423415,0.5538851132264376,121.02055699999998,309679.7297297297,1.60387811634349,Medium,4,1,5,2,2,-0.24468647407250024,-1.9722896317474403,Affordable Small Diamonds
0.81,Ideal,F,SI2,58.8,57.0,229163.0,6.14,6.11,3.6,12.342193183423415,0.5933268452777344,135.05544,282917.28395061725,1.7013888888888888,Medium,4,4,1,2,1,0.45127862253652357,-0.07435036861332381,Premium Heavy Diamonds
0.59,Ideal,E,VVS2,62.0,55.0,229163.0,5.38,5.43,3.35,12.342193183423415,0.4637340162321401,97.86488999999999,388411.8644067797,1.6134328358208954,Medium,4,5,5,2,2,-1.2749957098134228,-1.3380332414927656,Affordable Small Diamonds
0.8,Ideal,F,SI2,61.4,57.0,229163.0,5.96,6.0,3.67,12.342193183423415,0.5877866649021191,131.23919999999998,286453.75,1.6294277929155314,Medium,4,4,1,2,1,0.3877319833751352,-0.4105654417073994,Premium Heavy Diamonds
0.74,Ideal,E,SI2,62.2,56.0,229163.0,5.8,5.84,3.62,12.342193183423415,0.5538851132264376,122.61664,309679.7297297297,1.6077348066298343,Medium,4,5,1,2,1,0.012682407425689886,-0.6684792782027227,Premium Heavy Diamonds
